TransactionNo,Items,DateTime,Daypart,DayType,Date,Time,Year,Month,Hour
16,coffee,2016-10-30 10:37:08,morning,weekend,2016-10-30,10:37:08,2016,10,10
17,hot chocolate,2016-10-30 10:38:04,morning,weekend,2016-10-30,10:38:04,2016,10,10
18,farm house,2016-10-30 10:41:56,morning,weekend,2016-10-30,10:41:56,2016,10,10
19,farm house,2016-10-30 10:43:08,morning,weekend,2016-10-30,10:43:08,2016,10,10
19,bread,2016-10-30 10:43:08,morning,weekend,2016-10-30,10:43:08,2016,10,10
20,bread,2016-10-30 10:45:22,morning,weekend,2016-10-30,10:45:22,2016,10,10
20,medialuna,2016-10-30 10:45:22,morning,weekend,2016-10-30,10:45:22,2016,10,10
21,coffee,2016-10-30 10:49:29,morning,weekend,2016-10-30,10:49:29,2016,10,10
21,coffee,2016-10-30 10:49:29,morning,weekend,2016-10-30,10:49:29,2016,10,10
21,medialuna,2016-10-30 10:49:29,morning,weekend,2016-10-30,10:49:29,2016,10,10
21,bread,2016-10-30 10:49:29,morning,weekend,2016-10-30,10:49:29,2016,10,10
22,jam,2016-10-30 10:52:15,morning,weekend,2016-10-30,10:52:15,2016,10,10
23,scandinavian,2016-10-30 10:53:49,morning,weekend,2016-10-30,10:53:49,2016,10,10
23,muffin,2016-10-30 10:53:49,morning,weekend,2016-10-30,10:53:49,2016,10,10
24,bread,2016-10-30 10:54:33,morning,weekend,2016-10-30,10:54:33,2016,10,10
25,scandinavian,2016-10-30 10:55:22,morning,weekend,2016-10-30,10:55:22,2016,10,10
26,fudge,2016-10-30 10:56:08,morning,weekend,2016-10-30,10:56:08,2016,10,10
27,scandinavian,2016-10-30 11:02:19,morning,weekend,2016-10-30,11:02:19,2016,10,11
28,coffee,2016-10-30 11:03:24,morning,weekend,2016-10-30,11:03:24,2016,10,11
28,bread,2016-10-30 11:03:24,morning,weekend,2016-10-30,11:03:24,2016,10,11
29,bread,2016-10-30 11:05:30,morning,weekend,2016-10-30,11:05:30,2016,10,11
29,jam,2016-10-30 11:05:30,morning,weekend,2016-10-30,11:05:30,2016,10,11
30,bread,2016-10-30 11:07:19,morning,weekend,2016-10-30,11:07:19,2016,10,11
31,basket,2016-10-30 11:12:56,morning,weekend,2016-10-30,11:12:56,2016,10,11
32,scandinavian,2016-10-30 11:16:15,morning,weekend,2016-10-30,11:16:15,2016,10,11
32,muffin,2016-10-30 11:16:15,morning,weekend,2016-10-30,11:16:15,2016,10,11
33,coffee,2016-10-30 11:22:49,morning,weekend,2016-10-30,11:22:49,2016,10,11
34,coffee,2016-10-30 11:25:45,morning,weekend,2016-10-30,11:25:45,2016,10,11
34,muffin,2016-10-30 11:25:45,morning,weekend,2016-10-30,11:25:45,2016,10,11
35,muffin,2016-10-30 11:27:34,morning,weekend,2016-10-30,11:27:34,2016,10,11
35,scandinavian,2016-10-30 11:27:34,morning,weekend,2016-10-30,11:27:34,2016,10,11
36,tea,2016-10-30 11:33:08,morning,weekend,2016-10-30,11:33:08,2016,10,11
36,bread,2016-10-30 11:33:08,morning,weekend,2016-10-30,11:33:08,2016,10,11
37,coffee,2016-10-30 11:37:10,morning,weekend,2016-10-30,11:37:10,2016,10,11
37,bread,2016-10-30 11:37:10,morning,weekend,2016-10-30,11:37:10,2016,10,11
38,bread,2016-10-30 11:42:40,morning,weekend,2016-10-30,11:42:40,2016,10,11
38,tea,2016-10-30 11:42:40,morning,weekend,2016-10-30,11:42:40,2016,10,11
39,scandinavian,2016-10-30 11:44:31,morning,weekend,2016-10-30,11:44:31,2016,10,11
40,juice,2016-10-30 11:55:51,morning,weekend,2016-10-30,11:55:51,2016,10,11
40,tartine,2016-10-30 11:55:51,morning,weekend,2016-10-30,11:55:51,2016,10,11
40,coffee,2016-10-30 11:55:51,morning,weekend,2016-10-30,11:55:51,2016,10,11
40,muffin,2016-10-30 11:55:51,morning,weekend,2016-10-30,11:55:51,2016,10,11
41,scandinavian,2016-10-30 11:57:06,morning,weekend,2016-10-30,11:57:06,2016,10,11
42,bread,2016-10-30 11:57:45,morning,weekend,2016-10-30,11:57:45,2016,10,11
42,tea,2016-10-30 11:57:45,morning,weekend,2016-10-30,11:57:45,2016,10,11
43,scandinavian,2016-10-30 12:00:22,afternoon,weekend,2016-10-30,12:00:22,2016,10,12
43,fudge,2016-10-30 12:00:22,afternoon,weekend,2016-10-30,12:00:22,2016,10,12
44,coffee,2016-10-30 12:05:47,afternoon,weekend,2016-10-30,12:05:47,2016,10,12
44,medialuna,2016-10-30 12:05:47,afternoon,weekend,2016-10-30,12:05:47,2016,10,12
45,coffee,2016-10-30 12:08:36,afternoon,weekend,2016-10-30,12:08:36,2016,10,12
45,hot chocolate,2016-10-30 12:08:36,afternoon,weekend,2016-10-30,12:08:36,2016,10,12
45,medialuna,2016-10-30 12:08:36,afternoon,weekend,2016-10-30,12:08:36,2016,10,12
46,coffee,2016-10-30 12:09:04,afternoon,weekend,2016-10-30,12:09:04,2016,10,12
47,ella's kitchen pouches,2016-10-30 12:15:29,afternoon,weekend,2016-10-30,12:15:29,2016,10,12
47,juice,2016-10-30 12:15:29,afternoon,weekend,2016-10-30,12:15:29,2016,10,12
47,bread,2016-10-30 12:15:29,afternoon,weekend,2016-10-30,12:15:29,2016,10,12
47,muffin,2016-10-30 12:15:29,afternoon,weekend,2016-10-30,12:15:29,2016,10,12
47,jam,2016-10-30 12:15:29,afternoon,weekend,2016-10-30,12:15:29,2016,10,12
48,coffee,2016-10-30 12:17:02,afternoon,weekend,2016-10-30,12:17:02,2016,10,12
49,coffee,2016-10-30 12:23:01,afternoon,weekend,2016-10-30,12:23:01,2016,10,12
49,coffee,2016-10-30 12:23:01,afternoon,weekend,2016-10-30,12:23:01,2016,10,12
49,medialuna,2016-10-30 12:23:01,afternoon,weekend,2016-10-30,12:23:01,2016,10,12
50,bread,2016-10-30 12:25:11,afternoon,weekend,2016-10-30,12:25:11,2016,10,12
50,victorian sponge,2016-10-30 12:25:11,afternoon,weekend,2016-10-30,12:25:11,2016,10,12
51,bread,2016-10-30 12:26:58,afternoon,weekend,2016-10-30,12:26:58,2016,10,12
52,scandinavian,2016-10-30 12:28:07,afternoon,weekend,2016-10-30,12:28:07,2016,10,12
54,bread,2016-10-30 12:33:08,afternoon,weekend,2016-10-30,12:33:08,2016,10,12
55,frittata,2016-10-30 12:38:06,afternoon,weekend,2016-10-30,12:38:06,2016,10,12
55,coffee,2016-10-30 12:38:06,afternoon,weekend,2016-10-30,12:38:06,2016,10,12
55,tea,2016-10-30 12:38:06,afternoon,weekend,2016-10-30,12:38:06,2016,10,12
55,hearty & seasonal,2016-10-30 12:38:06,afternoon,weekend,2016-10-30,12:38:06,2016,10,12
56,coffee,2016-10-30 12:39:27,afternoon,weekend,2016-10-30,12:39:27,2016,10,12
56,frittata,2016-10-30 12:39:27,afternoon,weekend,2016-10-30,12:39:27,2016,10,12
57,scandinavian,2016-10-30 12:45:48,afternoon,weekend,2016-10-30,12:45:48,2016,10,12
58,victorian sponge,2016-10-30 12:59:29,afternoon,weekend,2016-10-30,12:59:29,2016,10,12
58,hot chocolate,2016-10-30 12:59:29,afternoon,weekend,2016-10-30,12:59:29,2016,10,12
58,tea,2016-10-30 12:59:29,afternoon,weekend,2016-10-30,12:59:29,2016,10,12
58,soup,2016-10-30 12:59:29,afternoon,weekend,2016-10-30,12:59:29,2016,10,12
59,tea,2016-10-30 13:02:04,afternoon,weekend,2016-10-30,13:02:04,2016,10,13
60,cookies,2016-10-30 13:14:04,afternoon,weekend,2016-10-30,13:14:04,2016,10,13
60,coffee,2016-10-30 13:14:04,afternoon,weekend,2016-10-30,13:14:04,2016,10,13
60,juice,2016-10-30 13:14:04,afternoon,weekend,2016-10-30,13:14:04,2016,10,13
60,coffee,2016-10-30 13:14:04,afternoon,weekend,2016-10-30,13:14:04,2016,10,13
61,coffee,2016-10-30 13:15:38,afternoon,weekend,2016-10-30,13:15:38,2016,10,13
62,pick and mix bowls,2016-10-30 13:24:00,afternoon,weekend,2016-10-30,13:24:00,2016,10,13
62,hearty & seasonal,2016-10-30 13:24:00,afternoon,weekend,2016-10-30,13:24:00,2016,10,13
62,hearty & seasonal,2016-10-30 13:24:00,afternoon,weekend,2016-10-30,13:24:00,2016,10,13
62,coffee,2016-10-30 13:24:00,afternoon,weekend,2016-10-30,13:24:00,2016,10,13
62,smoothies,2016-10-30 13:24:00,afternoon,weekend,2016-10-30,13:24:00,2016,10,13
62,coffee,2016-10-30 13:24:00,afternoon,weekend,2016-10-30,13:24:00,2016,10,13
63,coffee,2016-10-30 13:33:12,afternoon,weekend,2016-10-30,13:33:12,2016,10,13
64,cake,2016-10-30 13:34:07,afternoon,weekend,2016-10-30,13:34:07,2016,10,13
65,tartine,2016-10-30 13:37:25,afternoon,weekend,2016-10-30,13:37:25,2016,10,13
65,mighty protein,2016-10-30 13:37:25,afternoon,weekend,2016-10-30,13:37:25,2016,10,13
65,tea,2016-10-30 13:37:25,afternoon,weekend,2016-10-30,13:37:25,2016,10,13
65,coffee,2016-10-30 13:37:25,afternoon,weekend,2016-10-30,13:37:25,2016,10,13
66,hearty & seasonal,2016-10-30 13:40:20,afternoon,weekend,2016-10-30,13:40:20,2016,10,13
66,frittata,2016-10-30 13:40:20,afternoon,weekend,2016-10-30,13:40:20,2016,10,13
66,mineral water,2016-10-30 13:40:20,afternoon,weekend,2016-10-30,13:40:20,2016,10,13
67,hearty & seasonal,2016-10-30 13:46:48,afternoon,weekend,2016-10-30,13:46:48,2016,10,13
67,mineral water,2016-10-30 13:46:48,afternoon,weekend,2016-10-30,13:46:48,2016,10,13
67,muffin,2016-10-30 13:46:48,afternoon,weekend,2016-10-30,13:46:48,2016,10,13
68,frittata,2016-10-30 13:49:36,afternoon,weekend,2016-10-30,13:49:36,2016,10,13
68,coffee,2016-10-30 13:49:36,afternoon,weekend,2016-10-30,13:49:36,2016,10,13
68,tea,2016-10-30 13:49:36,afternoon,weekend,2016-10-30,13:49:36,2016,10,13
68,scandinavian,2016-10-30 13:49:36,afternoon,weekend,2016-10-30,13:49:36,2016,10,13
68,chicken sand,2016-10-30 13:49:36,afternoon,weekend,2016-10-30,13:49:36,2016,10,13
69,bread,2016-10-30 13:51:49,afternoon,weekend,2016-10-30,13:51:49,2016,10,13
69,tea,2016-10-30 13:51:49,afternoon,weekend,2016-10-30,13:51:49,2016,10,13
69,victorian sponge,2016-10-30 13:51:49,afternoon,weekend,2016-10-30,13:51:49,2016,10,13
70,fudge,2016-10-30 13:54:42,afternoon,weekend,2016-10-30,13:54:42,2016,10,13
71,muffin,2016-10-30 13:56:08,afternoon,weekend,2016-10-30,13:56:08,2016,10,13
72,coffee,2016-10-30 14:21:38,afternoon,weekend,2016-10-30,14:21:38,2016,10,14
72,bread,2016-10-30 14:21:38,afternoon,weekend,2016-10-30,14:21:38,2016,10,14
73,bread,2016-10-30 14:22:39,afternoon,weekend,2016-10-30,14:22:39,2016,10,14
74,coffee,2016-10-30 14:24:03,afternoon,weekend,2016-10-30,14:24:03,2016,10,14
74,bread,2016-10-30 14:24:03,afternoon,weekend,2016-10-30,14:24:03,2016,10,14
75,jam,2016-10-30 14:32:26,afternoon,weekend,2016-10-30,14:32:26,2016,10,14
75,frittata,2016-10-30 14:32:26,afternoon,weekend,2016-10-30,14:32:26,2016,10,14
76,coffee,2016-10-30 14:32:49,afternoon,weekend,2016-10-30,14:32:49,2016,10,14
77,scandinavian,2016-10-30 14:35:36,afternoon,weekend,2016-10-30,14:35:36,2016,10,14
78,fudge,2016-10-30 14:42:29,afternoon,weekend,2016-10-30,14:42:29,2016,10,14
79,fudge,2016-10-30 14:45:44,afternoon,weekend,2016-10-30,14:45:44,2016,10,14
79,tea,2016-10-30 14:45:44,afternoon,weekend,2016-10-30,14:45:44,2016,10,14
79,coffee,2016-10-30 14:45:44,afternoon,weekend,2016-10-30,14:45:44,2016,10,14
79,muffin,2016-10-30 14:45:44,afternoon,weekend,2016-10-30,14:45:44,2016,10,14
80,frittata,2016-10-30 14:48:40,afternoon,weekend,2016-10-30,14:48:40,2016,10,14
80,bread,2016-10-30 14:48:40,afternoon,weekend,2016-10-30,14:48:40,2016,10,14
80,coffee,2016-10-30 14:48:40,afternoon,weekend,2016-10-30,14:48:40,2016,10,14
81,coffee,2016-10-31 08:28:31,morning,weekday,2016-10-31,08:28:31,2016,10,8
81,cake,2016-10-31 08:28:31,morning,weekday,2016-10-31,08:28:31,2016,10,8
82,tartine,2016-10-31 08:47:05,morning,weekday,2016-10-31,08:47:05,2016,10,8
82,bread,2016-10-31 08:47:05,morning,weekday,2016-10-31,08:47:05,2016,10,8
83,coffee,2016-10-31 08:57:47,morning,weekday,2016-10-31,08:57:47,2016,10,8
83,bread,2016-10-31 08:57:47,morning,weekday,2016-10-31,08:57:47,2016,10,8
84,bread,2016-10-31 09:04:06,morning,weekday,2016-10-31,09:04:06,2016,10,9
85,coffee,2016-10-31 09:10:09,morning,weekday,2016-10-31,09:10:09,2016,10,9
85,coffee,2016-10-31 09:10:09,morning,weekday,2016-10-31,09:10:09,2016,10,9
85,pastry,2016-10-31 09:10:09,morning,weekday,2016-10-31,09:10:09,2016,10,9
85,medialuna,2016-10-31 09:10:09,morning,weekday,2016-10-31,09:10:09,2016,10,9
86,juice,2016-10-31 09:11:08,morning,weekday,2016-10-31,09:11:08,2016,10,9
87,bread,2016-10-31 09:12:56,morning,weekday,2016-10-31,09:12:56,2016,10,9
88,coffee,2016-10-31 09:16:01,morning,weekday,2016-10-31,09:16:01,2016,10,9
88,coffee,2016-10-31 09:16:01,morning,weekday,2016-10-31,09:16:01,2016,10,9
88,jam,2016-10-31 09:16:01,morning,weekday,2016-10-31,09:16:01,2016,10,9
89,bread,2016-10-31 09:19:41,morning,weekday,2016-10-31,09:19:41,2016,10,9
90,bread,2016-10-31 09:20:12,morning,weekday,2016-10-31,09:20:12,2016,10,9
90,coffee,2016-10-31 09:20:12,morning,weekday,2016-10-31,09:20:12,2016,10,9
91,tea,2016-10-31 09:22:48,morning,weekday,2016-10-31,09:22:48,2016,10,9
92,coffee,2016-10-31 09:27:11,morning,weekday,2016-10-31,09:27:11,2016,10,9
93,bread,2016-10-31 09:29:23,morning,weekday,2016-10-31,09:29:23,2016,10,9
93,coke,2016-10-31 09:29:23,morning,weekday,2016-10-31,09:29:23,2016,10,9
94,coffee,2016-10-31 09:39:09,morning,weekday,2016-10-31,09:39:09,2016,10,9
94,coffee,2016-10-31 09:39:09,morning,weekday,2016-10-31,09:39:09,2016,10,9
95,tea,2016-10-31 09:43:37,morning,weekday,2016-10-31,09:43:37,2016,10,9
95,pastry,2016-10-31 09:43:37,morning,weekday,2016-10-31,09:43:37,2016,10,9
95,farm house,2016-10-31 09:43:37,morning,weekday,2016-10-31,09:43:37,2016,10,9
96,pastry,2016-10-31 09:46:48,morning,weekday,2016-10-31,09:46:48,2016,10,9
96,pastry,2016-10-31 09:46:48,morning,weekday,2016-10-31,09:46:48,2016,10,9
96,coffee,2016-10-31 09:46:48,morning,weekday,2016-10-31,09:46:48,2016,10,9
96,juice,2016-10-31 09:46:48,morning,weekday,2016-10-31,09:46:48,2016,10,9
97,coffee,2016-10-31 09:51:11,morning,weekday,2016-10-31,09:51:11,2016,10,9
97,pastry,2016-10-31 09:51:11,morning,weekday,2016-10-31,09:51:11,2016,10,9
97,juice,2016-10-31 09:51:11,morning,weekday,2016-10-31,09:51:11,2016,10,9
98,farm house,2016-10-31 09:52:22,morning,weekday,2016-10-31,09:52:22,2016,10,9
99,pastry,2016-10-31 09:56:37,morning,weekday,2016-10-31,09:56:37,2016,10,9
99,pastry,2016-10-31 09:56:37,morning,weekday,2016-10-31,09:56:37,2016,10,9
99,coffee,2016-10-31 09:56:37,morning,weekday,2016-10-31,09:56:37,2016,10,9
99,bread,2016-10-31 09:56:37,morning,weekday,2016-10-31,09:56:37,2016,10,9
100,bread,2016-10-31 09:58:06,morning,weekday,2016-10-31,09:58:06,2016,10,9
101,coffee,2016-10-31 10:04:02,morning,weekday,2016-10-31,10:04:02,2016,10,10
101,pastry,2016-10-31 10:04:02,morning,weekday,2016-10-31,10:04:02,2016,10,10
102,farm house,2016-10-31 10:04:44,morning,weekday,2016-10-31,10:04:44,2016,10,10
103,bread,2016-10-31 10:07:40,morning,weekday,2016-10-31,10:07:40,2016,10,10
104,coffee,2016-10-31 10:12:48,morning,weekday,2016-10-31,10:12:48,2016,10,10
104,coffee,2016-10-31 10:12:48,morning,weekday,2016-10-31,10:12:48,2016,10,10
104,medialuna,2016-10-31 10:12:48,morning,weekday,2016-10-31,10:12:48,2016,10,10
104,muffin,2016-10-31 10:12:48,morning,weekday,2016-10-31,10:12:48,2016,10,10
104,coffee,2016-10-31 10:12:48,morning,weekday,2016-10-31,10:12:48,2016,10,10
105,coffee,2016-10-31 10:21:29,morning,weekday,2016-10-31,10:21:29,2016,10,10
105,tea,2016-10-31 10:21:29,morning,weekday,2016-10-31,10:21:29,2016,10,10
105,cake,2016-10-31 10:21:29,morning,weekday,2016-10-31,10:21:29,2016,10,10
106,coffee,2016-10-31 10:24:21,morning,weekday,2016-10-31,10:24:21,2016,10,10
106,coffee,2016-10-31 10:24:21,morning,weekday,2016-10-31,10:24:21,2016,10,10
106,pastry,2016-10-31 10:24:21,morning,weekday,2016-10-31,10:24:21,2016,10,10
106,pastry,2016-10-31 10:24:21,morning,weekday,2016-10-31,10:24:21,2016,10,10
107,coffee,2016-10-31 10:27:30,morning,weekday,2016-10-31,10:27:30,2016,10,10
107,tea,2016-10-31 10:27:30,morning,weekday,2016-10-31,10:27:30,2016,10,10
108,farm house,2016-10-31 10:31:05,morning,weekday,2016-10-31,10:31:05,2016,10,10
108,muffin,2016-10-31 10:31:05,morning,weekday,2016-10-31,10:31:05,2016,10,10
109,bread,2016-10-31 10:35:23,morning,weekday,2016-10-31,10:35:23,2016,10,10
109,muffin,2016-10-31 10:35:23,morning,weekday,2016-10-31,10:35:23,2016,10,10
109,pastry,2016-10-31 10:35:23,morning,weekday,2016-10-31,10:35:23,2016,10,10
110,pastry,2016-10-31 10:36:37,morning,weekday,2016-10-31,10:36:37,2016,10,10
111,coffee,2016-10-31 10:38:09,morning,weekday,2016-10-31,10:38:09,2016,10,10
112,coffee,2016-10-31 10:59:17,morning,weekday,2016-10-31,10:59:17,2016,10,10
113,coffee,2016-10-31 11:02:37,morning,weekday,2016-10-31,11:02:37,2016,10,11
113,cake,2016-10-31 11:02:37,morning,weekday,2016-10-31,11:02:37,2016,10,11
114,farm house,2016-10-31 11:05:45,morning,weekday,2016-10-31,11:05:45,2016,10,11
115,bread,2016-10-31 11:08:53,morning,weekday,2016-10-31,11:08:53,2016,10,11
116,coffee,2016-10-31 11:11:01,morning,weekday,2016-10-31,11:11:01,2016,10,11
117,cookies,2016-10-31 11:13:08,morning,weekday,2016-10-31,11:13:08,2016,10,11
117,cake,2016-10-31 11:13:08,morning,weekday,2016-10-31,11:13:08,2016,10,11
117,coffee,2016-10-31 11:13:08,morning,weekday,2016-10-31,11:13:08,2016,10,11
117,my-5 fruit shoot,2016-10-31 11:13:08,morning,weekday,2016-10-31,11:13:08,2016,10,11
118,cookies,2016-10-31 11:18:29,morning,weekday,2016-10-31,11:18:29,2016,10,11
118,cookies,2016-10-31 11:18:29,morning,weekday,2016-10-31,11:18:29,2016,10,11
118,tea,2016-10-31 11:18:29,morning,weekday,2016-10-31,11:18:29,2016,10,11
118,pastry,2016-10-31 11:18:29,morning,weekday,2016-10-31,11:18:29,2016,10,11
119,coffee,2016-10-31 11:25:56,morning,weekday,2016-10-31,11:25:56,2016,10,11
119,coffee,2016-10-31 11:25:56,morning,weekday,2016-10-31,11:25:56,2016,10,11
119,muffin,2016-10-31 11:25:56,morning,weekday,2016-10-31,11:25:56,2016,10,11
120,farm house,2016-10-31 11:29:01,morning,weekday,2016-10-31,11:29:01,2016,10,11
121,coffee,2016-10-31 11:30:59,morning,weekday,2016-10-31,11:30:59,2016,10,11
121,bread,2016-10-31 11:30:59,morning,weekday,2016-10-31,11:30:59,2016,10,11
122,cookies,2016-10-31 11:37:30,morning,weekday,2016-10-31,11:37:30,2016,10,11
123,jam,2016-10-31 11:42:05,morning,weekday,2016-10-31,11:42:05,2016,10,11
123,coffee,2016-10-31 11:42:05,morning,weekday,2016-10-31,11:42:05,2016,10,11
123,coffee,2016-10-31 11:42:05,morning,weekday,2016-10-31,11:42:05,2016,10,11
123,juice,2016-10-31 11:42:05,morning,weekday,2016-10-31,11:42:05,2016,10,11
124,coffee,2016-10-31 11:43:10,morning,weekday,2016-10-31,11:43:10,2016,10,11
124,soup,2016-10-31 11:43:10,morning,weekday,2016-10-31,11:43:10,2016,10,11
125,tea,2016-10-31 11:47:18,morning,weekday,2016-10-31,11:47:18,2016,10,11
126,coffee,2016-10-31 11:52:43,morning,weekday,2016-10-31,11:52:43,2016,10,11
126,jam,2016-10-31 11:52:43,morning,weekday,2016-10-31,11:52:43,2016,10,11
127,farm house,2016-10-31 11:53:11,morning,weekday,2016-10-31,11:53:11,2016,10,11
128,tartine,2016-10-31 11:55:00,morning,weekday,2016-10-31,11:55:00,2016,10,11
128,coffee,2016-10-31 11:55:00,morning,weekday,2016-10-31,11:55:00,2016,10,11
128,tea,2016-10-31 11:55:00,morning,weekday,2016-10-31,11:55:00,2016,10,11
129,coffee,2016-10-31 11:59:23,morning,weekday,2016-10-31,11:59:23,2016,10,11
129,coffee,2016-10-31 11:59:23,morning,weekday,2016-10-31,11:59:23,2016,10,11
129,cake,2016-10-31 11:59:23,morning,weekday,2016-10-31,11:59:23,2016,10,11
130,coffee,2016-10-31 12:03:12,afternoon,weekday,2016-10-31,12:03:12,2016,10,12
130,coffee,2016-10-31 12:03:12,afternoon,weekday,2016-10-31,12:03:12,2016,10,12
130,muffin,2016-10-31 12:03:12,afternoon,weekday,2016-10-31,12:03:12,2016,10,12
131,bread,2016-10-31 12:08:28,afternoon,weekday,2016-10-31,12:08:28,2016,10,12
131,coffee,2016-10-31 12:08:28,afternoon,weekday,2016-10-31,12:08:28,2016,10,12
132,tea,2016-10-31 12:14:20,afternoon,weekday,2016-10-31,12:14:20,2016,10,12
132,juice,2016-10-31 12:14:20,afternoon,weekday,2016-10-31,12:14:20,2016,10,12
132,pick and mix bowls,2016-10-31 12:14:20,afternoon,weekday,2016-10-31,12:14:20,2016,10,12
132,cookies,2016-10-31 12:14:20,afternoon,weekday,2016-10-31,12:14:20,2016,10,12
133,hearty & seasonal,2016-10-31 12:16:32,afternoon,weekday,2016-10-31,12:16:32,2016,10,12
133,soup,2016-10-31 12:16:32,afternoon,weekday,2016-10-31,12:16:32,2016,10,12
134,hearty & seasonal,2016-10-31 12:19:37,afternoon,weekday,2016-10-31,12:19:37,2016,10,12
134,tea,2016-10-31 12:19:37,afternoon,weekday,2016-10-31,12:19:37,2016,10,12
134,farm house,2016-10-31 12:19:37,afternoon,weekday,2016-10-31,12:19:37,2016,10,12
135,bread,2016-10-31 12:20:21,afternoon,weekday,2016-10-31,12:20:21,2016,10,12
136,tea,2016-10-31 12:27:41,afternoon,weekday,2016-10-31,12:27:41,2016,10,12
136,soup,2016-10-31 12:27:41,afternoon,weekday,2016-10-31,12:27:41,2016,10,12
137,farm house,2016-10-31 12:37:07,afternoon,weekday,2016-10-31,12:37:07,2016,10,12
138,soup,2016-10-31 12:43:35,afternoon,weekday,2016-10-31,12:43:35,2016,10,12
138,hearty & seasonal,2016-10-31 12:43:35,afternoon,weekday,2016-10-31,12:43:35,2016,10,12
138,coffee,2016-10-31 12:43:35,afternoon,weekday,2016-10-31,12:43:35,2016,10,12
139,bread,2016-10-31 12:50:57,afternoon,weekday,2016-10-31,12:50:57,2016,10,12
139,muffin,2016-10-31 12:50:57,afternoon,weekday,2016-10-31,12:50:57,2016,10,12
